timestamp,room,temperature,humidity,pm25,user_air_purifier_on
2026-02-26 12:35:31.277959,living_room,25.0,70.2,4.9,0
2026-02-26 12:45:31.277959,living_room,25.3,68.8,15.5,0
2026-02-26 12:55:31.277959,living_room,25.8,71.6,10.0,0
2026-02-26 13:05:31.277959,living_room,25.1,64.0,94.6,1
2026-02-26 13:15:31.277959,living_room,25.3,71.9,27.6,0
2026-02-26 13:25:31.277959,living_room,25.7,67.4,22.6,0
2026-02-26 13:35:31.277959,living_room,24.9,69.9,54.8,0
2026-02-26 13:45:31.277959,living_room,25.6,73.1,30.3,0
2026-02-26 13:55:31.277959,living_room,25.3,68.0,16.1,0
2026-02-26 14:05:31.277959,living_room,26.2,70.9,99.1,1
2026-02-26 14:15:31.277959,living_room,26.4,66.3,156.2,1
2026-02-26 14:25:31.277959,living_room,26.1,70.2,19.1,0
2026-02-26 14:35:31.277959,living_room,26.6,68.6,36.0,0
2026-02-26 14:45:31.277959,living_room,26.6,73.9,26.1,0
2026-02-26 14:55:31.277959,living_room,26.9,69.5,22.1,0
2026-02-26 15:05:31.277959,living_room,25.8,70.6,14.8,0
2026-02-26 15:15:31.277959,living_room,26.5,69.3,21.8,0
2026-02-26 15:25:31.277959,living_room,26.0,68.0,21.9,0
2026-02-26 15:35:31.277959,living_room,26.5,67.1,37.4,0
2026-02-26 15:45:31.277959,living_room,26.6,66.0,20.8,0
2026-02-26 15:55:31.277959,living_room,26.8,67.7,5.0,0
2026-02-26 16:05:31.277959,living_room,27.6,72.2,32.0,0
2026-02-26 16:15:31.277959,living_room,27.2,66.9,20.7,0
2026-02-26 16:25:31.277959,living_room,27.0,67.4,22.7,0
2026-02-26 16:35:31.277959,living_room,27.1,70.1,46.6,0
2026-02-26 16:45:31.277959,living_room,28.2,64.4,17.2,0
2026-02-26 16:55:31.277959,living_room,28.1,65.8,21.0,0
2026-02-26 17:05:31.277959,living_room,27.4,64.0,21.7,0
2026-02-26 17:15:31.277959,living_room,28.2,66.6,25.4,0
2026-02-26 17:25:31.277959,living_room,28.2,71.0,21.6,0
2026-02-26 17:35:31.277959,living_room,27.9,70.0,27.5,0
2026-02-26 17:45:31.277959,living_room,28.2,67.0,0.0,0
2026-02-26 17:55:31.277959,living_room,28.1,65.2,22.4,0
2026-02-26 18:05:31.277959,living_room,27.5,68.1,39.7,0
2026-02-26 18:15:31.277959,living_room,28.6,66.2,24.3,1
2026-02-26 18:25:31.277959,living_room,28.8,63.9,24.1,1
2026-02-26 18:35:31.277959,living_room,27.9,69.5,11.8,0
2026-02-26 18:45:31.277959,living_room,29.3,60.5,23.6,0
2026-02-26 18:55:31.277959,living_room,28.7,64.4,29.3,0
2026-02-26 19:05:31.277959,living_room,28.7,64.9,10.5,0
2026-02-26 19:15:31.277959,living_room,28.4,64.5,1.6,1
2026-02-26 19:25:31.277959,living_room,29.4,65.8,31.9,1
2026-02-26 19:35:31.277959,living_room,28.4,68.7,27.2,0
2026-02-26 19:45:31.277959,living_room,29.7,66.9,23.3,0
2026-02-26 19:55:31.277959,living_room,29.2,65.0,30.4,0
2026-02-26 20:05:31.277959,living_room,29.0,61.9,21.2,0
2026-02-26 20:15:31.277959,living_room,28.6,65.1,10.4,0
2026-02-26 20:25:31.277959,living_room,29.9,66.8,6.3,0
2026-02-26 20:35:31.277959,living_room,29.4,64.1,18.8,0
2026-02-26 20:45:31.277959,living_room,29.7,66.3,2.9,0
